Country,Year,fertility,life,population,child_mortality,gdp,region
Afghanistan,1964,7.67,33.6,10474903,339.7,1182,South Asia
Afghanistan,1965,7.67,34.2,10697983,334.1,1182,South Asia
Afghanistan,1966,7.67,34.7,10927724,328.7,1168,South Asia
Afghanistan,1967,7.67,35.2,11163656,323.3,1173,South Asia
Afghanistan,1968,7.67,35.7,11411022,318.1,1187,South Asia
Afghanistan,1969,7.67,36.2,11676990,313.0,1178,South Asia
Afghanistan,1970,7.67,36.7,11964906,307.8,1174,South Asia
Afghanistan,1971,7.67,37.1,12273101,302.1,1092,South Asia
Afghanistan,1972,7.67,37.6,12593688,296.4,1046,South Asia
Afghanistan,1973,7.67,38.1,12915499,290.8,1137,South Asia
Afghanistan,1974,7.67,38.5,13223928,284.9,1170,South Asia
Afghanistan,1975,7.67,39.0,13505544,279.4,1201,South Asia
Afghanistan,1976,7.67,39.4,13766792,273.6,1231,South Asia
Afghanistan,1977,7.67,39.9,14003408,267.8,1119,South Asia
Afghanistan,1978,7.67,40.3,14179656,261.6,1179,South Asia
Afghanistan,1979,7.67,40.8,14249493,255.5,1155,South Asia
Afghanistan,1980,7.67,41.2,14185729,249.1,1158,South Asia
Afghanistan,1981,7.67,41.8,13984092,242.7,1284,South Asia
Afghanistan,1982,7.67,42.3,13672870,236.2,1402,South Asia
Afghanistan,1983,7.67,43.0,13300056,229.7,1454,South Asia
Afghanistan,1984,7.68,43.7,12931791,222.9,1429,South Asia
Afghanistan,1985,7.68,44.4,12625292,216.0,1384,South Asia
Afghanistan,1986,7.68,45.2,12372113,209.2,1486,South Asia
Afghanistan,1987,7.68,46.0,12183387,202.1,1230,South Asia
Afghanistan,1988,7.68,46.9,12156685,195.0,1113,South Asia
Afghanistan,1989,7.68,47.7,12414686,187.8,1087,South Asia
Afghanistan,1990,7.69,48.6,13032161,181.0,1028,South Asia
Afghanistan,1991,7.70,49.4,14069854,174.2,1022,South Asia
Afghanistan,1992,7.73,50.2,15472076,167.8,941,South Asia
Afghanistan,1993,7.76,51.0,17053213,162.0,810,South Asia
Afghanistan,1994,7.80,51.7,18553819,156.8,725,South Asia
Afghanistan,1995,7.83,52.4,19789880,152.3,872,South Asia
Afghanistan,1996,7.86,53.0,20684982,148.6,895,South Asia
Afghanistan,1997,7.87,53.5,21299350,145.5,921,South Asia
Afghanistan,1998,7.85,54.0,21752257,142.6,947,South Asia
Afghanistan,1999,7.81,54.4,22227543,139.9,972,South Asia
Afghanistan,2000,7.73,54.9,22856302,137.0,962,South Asia
Afghanistan,2001,7.62,55.3,23677385,133.8,862,South Asia
Afghanistan,2002,7.48,55.7,24639841,130.3,1053,South Asia
Afghanistan,2003,7.32,56.1,25678639,126.8,1097,South Asia
Afghanistan,2004,7.14,56.6,26693486,123.2,1067,South Asia
Afghanistan,2005,6.93,57.1,27614718,119.6,1146,South Asia
Afghanistan,2006,6.70,57.6,28420974,116.3,1173,South Asia
Afghanistan,2007,6.46,58.1,29145841,113.2,1298,South Asia
Afghanistan,2008,6.20,58.6,29839994,110.4,1311,South Asia
Afghanistan,2009,5.93,59.1,30577756,107.6,1548,South Asia
Afghanistan,2010,5.66,59.6,31411743,105.0,1637,South Asia
Afghanistan,2011,5.40,60.1,32358260,102.3,1695,South Asia
Afghanistan,2012,5.14,60.5,33397058,99.5,1893,South Asia
Afghanistan,2013,4.90,60.9,34499915,96.7,1884,South Asia
Albania,1964,5.71,65.5,1817098,122.7,3023,Europe & Central Asia
Albania,1965,5.59,65.9,1869942,120.1,3129,Europe & Central Asia
Albania,1966,5.48,66.1,1922993,117.6,3242,Europe & Central Asia
Albania,1967,5.38,66.3,1976140,115.1,3359,Europe & Central Asia
Albania,1968,5.27,66.5,2029314,112.7,3475,Europe & Central Asia
Albania,1969,5.16,66.7,2082474,110.3,3587,Europe & Central Asia
Albania,1970,5.05,66.9,2135599,108.0,3712,Europe & Central Asia
Albania,1971,4.93,67.3,2188650,105.7,3849,Europe & Central Asia
Albania,1972,4.81,67.6,2241623,103.5,3988,Europe & Central Asia
Albania,1973,4.68,68.0,2294578,101.3,4174,Europe & Central Asia
Albania,1974,4.54,68.4,2347607,99.2,4177,Europe & Central Asia
Albania,1975,4.39,68.7,2400801,97.1,4178,Europe & Central Asia
Albania,1976,4.24,69.1,2454255,95.1,4182,Europe & Central Asia
Albania,1977,4.09,69.5,2508026,93.1,4188,Europe & Central Asia
Albania,1978,3.95,69.8,2562121,91.1,4194,Europe & Central Asia
Albania,1979,3.81,70.0,2616530,84.7,4201,Europe & Central Asia
Albania,1980,3.68,70.2,2671300,78.6,4218,Europe & Central Asia
Albania,1981,3.56,70.4,2725029,73.0,4227,Europe & Central Asia
Albania,1982,3.46,70.6,2777592,67.8,4237,Europe & Central Asia
Albania,1983,3.37,70.9,2831682,62.8,4248,Europe & Central Asia
Albania,1984,3.30,71.1,2891004,58.3,4259,Europe & Central Asia
Albania,1985,3.23,71.4,2957390,54.3,4267,Europe & Central Asia
Albania,1986,3.18,71.6,3033393,50.7,4281,Europe & Central Asia
Albania,1987,3.13,71.8,3116009,47.6,4294,Europe & Central Asia
Albania,1988,3.08,71.9,3194854,44.9,4307,Europe & Central Asia
Albania,1989,3.02,71.9,3255859,42.5,4325,Europe & Central Asia
Albania,1990,2.97,71.8,3289483,40.6,4350,Europe & Central Asia
Albania,1991,2.92,71.8,3291695,38.8,3081,Europe & Central Asia
Albania,1992,2.87,71.8,3266983,37.3,2877,Europe & Central Asia
Albania,1993,2.82,71.8,3224901,36.0,3172,Europe & Central Asia
Albania,1994,2.77,71.9,3179442,34.6,3457,Europe & Central Asia
Albania,1995,2.72,72.1,3141102,33.2,3941,Europe & Central Asia
Albania,1996,2.67,72.4,3112597,31.8,4326,Europe & Central Asia
Albania,1997,2.61,72.8,3091902,30.3,3909,Europe & Central Asia
Albania,1998,2.54,73.2,3079037,28.9,4434,Europe & Central Asia
Albania,1999,2.47,73.7,3072725,27.5,4912,Europe & Central Asia
Albania,2000,2.38,74.2,3071856,26.2,5305,Europe & Central Asia
Albania,2001,2.29,74.7,3077378,24.9,5730,Europe & Central Asia
Albania,2002,2.20,75.1,3089778,23.6,5913,Europe & Central Asia
Albania,2003,2.10,75.4,3106701,22.5,6274,Europe & Central Asia
Albania,2004,2.00,75.7,3124861,21.5,6672,Europe & Central Asia
Albania,2005,1.92,75.9,3141800,20.5,7075,Europe & Central Asia
Albania,2006,1.85,76.1,3156607,19.5,7476,Europe & Central Asia
Albania,2007,1.80,76.3,3169665,18.7,7977,Europe & Central Asia
Albania,2008,1.76,76.4,3181397,17.9,8644,Europe & Central Asia
Albania,2009,1.74,76.6,3192723,17.3,8994,Europe & Central Asia
Albania,2010,1.74,76.8,3204284,16.6,9374,Europe & Central Asia
Albania,2011,1.75,77.0,3215988,16.0,9640,Europe & Central Asia
Albania,2012,1.76,77.2,3227373,15.5,9811,Europe & Central Asia
Albania,2013,1.77,77.4,3238316,14.9,9961,Europe & Central Asia
Algeria,1964,7.65,48.0,11654905,247.3,5693,Middle East & North Africa
Algeria,1965,7.66,48.4,11923002,248.2,5916,Middle East & North Africa
Algeria,1966,7.66,48.8,12229853,248.9,5478,Middle East & North Africa
Algeria,1967,7.66,49.2,12572629,248.9,5811,Middle East & North Africa
Algeria,1968,7.66,49.6,12945462,248.0,6319,Middle East & North Africa
Algeria,1969,7.65,50.0,13338918,245.8,6747,Middle East & North Africa
Algeria,1970,7.64,50.4,13746185,242.2,7227,Middle East & North Africa
Algeria,1971,7.62,50.8,14165889,237.3,6427,Middle East & North Africa
Algeria,1972,7.59,51.2,14600659,230.9,7556,Middle East & North Africa
Algeria,1973,7.55,51.7,15052371,223.4,7581,Middle East & North Africa
Algeria,1974,7.49,52.2,15524137,214.9,7812,Middle East & North Africa
Algeria,1975,7.42,52.9,16018195,205.5,8119,Middle East & North Africa
Algeria,1976,7.34,53.7,16533323,195.7,8400,Middle East & North Africa
Algeria,1977,7.24,54.6,17068212,185.1,8888,Middle East & North Africa
Algeria,1978,7.14,55.7,17624756,173.9,9730,Middle East & North Africa
Algeria,1979,7.02,56.9,18205468,161.7,10293,Middle East & North Africa
Algeria,1980,6.89,58.2,18811199,148.0,10166,Middle East & North Africa
Algeria,1981,6.74,59.5,19442423,132.6,10160,Middle East & North Africa
Algeria,1982,6.58,60.8,20095648,115.9,10477,Middle East & North Africa
Algeria,1983,6.39,62.1,20762767,98.9,10696,Middle East & North Africa
Algeria,1984,6.19,63.2,21433070,83.6,10947,Middle East & North Africa
Algeria,1985,5.98,64.1,22098298,71.2,11030,Middle East & North Africa
Algeria,1986,5.75,64.9,22753511,61.9,10722,Middle East & North Africa
Algeria,1987,5.51,65.6,23398470,55.3,10378,Middle East & North Africa
Algeria,1988,5.26,66.1,24035237,51.2,9888,Middle East & North Africa
Algeria,1989,5.01,66.5,24668100,48.6,10115,Middle East & North Africa
Algeria,1990,4.76,66.8,25299182,46.9,10113,Middle East & North Africa
Algeria,1991,4.50,67.0,25930560,45.8,9748,Middle East & North Africa
Algeria,1992,4.24,67.3,26557969,45.0,9693,Middle East & North Africa
Algeria,1993,3.97,67.5,27169903,44.2,9279,Middle East & North Africa
Algeria,1994,3.71,67.7,27751086,43.5,9006,Middle East & North Africa
Algeria,1995,3.45,67.9,28291591,42.6,9168,Middle East & North Africa
Algeria,1996,3.21,68.1,28786855,41.8,9375,Middle East & North Africa
Algeria,1997,2.99,68.4,29242917,41.2,9322,Middle East & North Africa
Algeria,1998,2.79,68.6,29673694,40.7,9646,Middle East & North Africa
Algeria,1999,2.63,68.8,30099010,40.2,9810,Middle East & North Africa
Algeria,2000,2.51,69.0,30533827,39.7,9885,Middle East & North Africa
Algeria,2001,2.44,69.1,30982214,38.9,10203,Middle East & North Africa
Algeria,2002,2.41,69.3,31441848,37.8,10634,Middle East & North Africa
Algeria,2003,2.41,69.5,31913462,36.5,11251,Middle East & North Africa
Algeria,2004,2.45,69.7,32396048,35.1,11575,Middle East & North Africa
Algeria,2005,2.51,69.9,32888449,33.6,12077,Middle East & North Africa
Algeria,2006,2.58,70.0,33391954,32.1,12088,Middle East & North Africa
Algeria,2007,2.66,70.2,33906605,30.7,12289,Middle East & North Africa
Algeria,2008,2.73,70.3,34428028,29.5,12314,Middle East & North Africa
Algeria,2009,2.78,70.5,34950168,28.4,12285,Middle East & North Africa
Algeria,2010,2.82,70.6,35468208,27.4,12494,Middle East & North Africa
Algeria,2011,2.83,70.7,35980193,26.6,12606,Middle East & North Africa
Algeria,2012,2.82,70.9,36485828,25.8,12779,Middle East & North Africa
Algeria,2013,2.80,71.0,36983924,25.2,12893,Middle East & North Africa
Angola,1964,7.43,34.6,5337063,305.2,4573,Sub-Saharan Africa
Angola,1965,7.43,35.0,5431135,297.6,4840,Sub-Saharan Africa
Angola,1966,7.42,35.4,5524090,290.0,5043,Sub-Saharan Africa
Angola,1967,7.40,35.8,5617242,282.4,5253,Sub-Saharan Africa
Angola,1968,7.38,36.2,5713156,275.3,5093,Sub-Saharan Africa
Angola,1969,7.34,36.6,5815282,268.6,5158,Sub-Saharan Africa
Angola,1970,7.30,37.0,5926333,262.3,5397,Sub-Saharan Africa
Angola,1971,7.26,37.4,6047736,259.3,5614,Sub-Saharan Africa
Angola,1972,7.23,37.8,6179685,256.4,5511,Sub-Saharan Africa
Angola,1973,7.21,38.2,6322194,253.5,5831,Sub-Saharan Africa
Angola,1974,7.19,38.6,6474796,250.6,5880,Sub-Saharan Africa
Angola,1975,7.19,39.0,6637419,247.8,5454,Sub-Saharan Africa
Angola,1976,7.19,39.3,6808850,245.0,5044,Sub-Saharan Africa
Angola,1977,7.19,39.6,6989988,242.2,4956,Sub-Saharan Africa
Angola,1978,7.19,39.8,7185188,239.5,4572,Sub-Saharan Africa
Angola,1979,7.20,40.0,7400231,236.8,4458,Sub-Saharan Africa
Angola,1980,7.20,40.2,7638420,234.1,4443,Sub-Saharan Africa
Angola,1981,7.20,40.3,7903368,232.8,4110,Sub-Saharan Africa
Angola,1982,7.20,40.4,8191774,231.5,3970,Sub-Saharan Africa
Angola,1983,7.21,40.5,8491682,230.2,3996,Sub-Saharan Africa
Angola,1984,7.21,40.7,8786652,229.1,4099,Sub-Saharan Africa
Angola,1985,7.21,40.8,9065562,228.3,4117,Sub-Saharan Africa
Angola,1986,7.21,40.9,9322550,227.5,4135,Sub-Saharan Africa
Angola,1987,7.20,41.0,9562796,226.9,4319,Sub-Saharan Africa
Angola,1988,7.19,41.1,9799680,226.5,4455,Sub-Saharan Africa
Angola,1989,7.18,41.1,10052567,226.2,4365,Sub-Saharan Africa
Angola,1990,7.17,41.2,10335052,226.0,4232,Sub-Saharan Africa
Angola,1991,7.14,41.2,10653515,225.9,4056,Sub-Saharan Africa
Angola,1992,7.12,41.3,11002910,226.0,3656,Sub-Saharan Africa
Angola,1993,7.09,41.5,11371750,225.8,2663,Sub-Saharan Africa
Angola,1994,7.05,41.7,11742960,225.5,2669,Sub-Saharan Africa
Angola,1995,7.02,42.1,12105105,224.8,2859,Sub-Saharan Africa
Angola,1996,6.98,42.5,12452725,224.0,3091,Sub-Saharan Africa
Angola,1997,6.95,43.1,12792237,222.6,3246,Sub-Saharan Africa
Angola,1998,6.91,43.7,13138265,220.8,3376,Sub-Saharan Africa
Angola,1999,6.88,44.5,13511575,218.9,3389,Sub-Saharan Africa
Angola,2000,6.84,45.2,13926373,216.7,3387,Sub-Saharan Africa
Angola,2001,6.81,46.0,14388244,214.1,3417,Sub-Saharan Africa
